Automaker,brand_id,May_sale,May2016_marketshare,May_rank,June_sale,June-2016_marketShare,June_rank,July_sale,July-2016_marketshare,July_rank,May_Request,June_Request,July_Request,May_visit_adjusted,June_visit_adjusted,July_visit_adjusted,May_visit_share,June_visit_share,July_visit_share,May_visitrank,June_visitrank,July_visitrank,May_weekend_visit_adjusted,June_weekend_visit_adjuste,July_weekend_visit_adjusted,May_weekend_visit_share,June_weekend_visit_share,July_weekend_visit_share,
Acura,335,13561,0.9,20,11352,0.8,21,13674,0.9,21,198571,185943,236241,39306,39736,68409,0.8,0.9,1.7,28,25,23,8007,7119,17448,0.7,0.8,1.8,1.8
Audi,272,18728,1.3,18,18445,1.3,18,18364,1.2,19,192232,190725,416816,43729,44691,115454,0.9,1,2.8,27,24,14,9181,8916,33055,0.9,1,3.3,5.1
BMW,15,29017,1.9,13,28855,2,13,25777,1.7,16,521442,489989,443434,122171,107512,112767,2.5,2.4,2.8,14,16,15,23689,20978,27243,2.2,2.4,2.8,7.9
Bentley,319,112,0,33,144,0,33,165,0,33,7063,14270,27360,2065,4150,9410,0,0.1,0.2,33,33,33,441,671,2383,0,0.1,0.2,
Buick,325,15625,1,19,16575,1.1,19,22960,1.6,17,1021003,1022158,789287,185765,192817,160181,3.8,4.3,3.9,10,10,10,36202,33528,34736,3.4,3.8,3.5,
Cadillac,326,12099,0.8,21,14263,1,20,14341,1,20,653416,664206,531461,124488,135370,115997,2.5,3,2.8,13,13,13,25147,24949,25197,2.4,2.8,2.6,
Chevrolet,124,169331,11.4,3,181387,12.4,2,178820,12.1,3,2248981,2206047,1835591,441171,453376,406664,9,10.1,10,2,2,2,90557,83979,92747,8.5,9.4,9.4,
Chrysler,277,24276,1.6,17,24747,1.7,16,19095,1.3,18,1318577,1192478,959994,250097,236413,217982,5.1,5.3,5.3,8,7,5,51346,44649,50198,4.8,5,5.1,
Dodge,278,42837,2.9,11,44819,3.1,10,35520,2.4,11,1376142,1224109,1011929,250267,228684,215585,5.1,5.1,5.3,7,8,6,50871,41885,48564,4.8,4.7,4.9,
Fiat,322,3137,0.2,30,2544,0.2,31,2754,0.2,31,179825,136176,110363,60620,37683,31236,1.2,0.8,0.8,25,27,27,15269,7817,8135,1.4,0.9,0.8,
Ford,18,224941,15.1,1,230287,15.7,1,206170,14,1,2781032,2480556,1858698,641613,532792,423768,13.1,11.8,10.4,1,1,1,152135,113012,97170,14.2,12.7,9.8,
GMC,149,43395,2.9,10,42985,2.9,11,51137,3.5,10,815095,824660,644584,150398,160565,134555,3.1,3.6,3.3,12,11,11,29470,29156,29468,2.8,3.3,3,
Honda,79,133547,9,4,127363,8.7,5,139125,9.4,4,1209120,1100707,933070,266038,242058,231214,5.4,5.4,5.7,5,4,4,57489,48435,57502,5.4,5.4,5.8,
Hyundai,268,71006,4.8,7,67511,4.6,7,75003,5.1,7,1019760,875293,640625,297819,236564,184084,6.1,5.3,4.5,3,6,9,73220,52277,49120,6.9,5.9,5,
Infiniti,316,10828,0.7,22,11058,0.8,22,9945,0.7,22,177020,158357,132834,35388,34678,34294,0.7,0.8,0.8,29,29,26,7720,7337,8735,0.7,0.8,0.9,
